순번,상호,지역,1등 자동 당첨 건수
1,인터넷 복권판매사이트,서울 서초구,10
2,종합복권슈퍼,경기 시흥시,3
3,한꿈복권방,울산 중구,3
4,부일카서비스,부산 동구,3
5,오천억복권방,광주 서구,3
6,행복한사람들 (흥부네),경기 광주시,2
7,패밀리복권방,경기 남양주시,2
8,대길복권,경기 수원시 장안구,2
9,나눔로또한대점,경기 안산시 상록구,2
10,세븐일레븐 홍익점,경기 안성시,2
11,일등복권,경기 양주시,2
12,복권,경기 의정부시,2
13,우리로또,경기 의정부시,2
14,대전우표사,대전 동구,2
15,롯데무역,부산 영도구,2
16,복권나라,서울 관악구,2
17,그랜드마트앞가판점,서울 마포구,2
18,제이복권방,서울 종로구,2
19,대박천하마트,인천 부평구,2
20,당하복권명당,인천 서구,2
21,NBA(엔비에이),인천 중구,2
22,복권세상,전남 목포시,2
23,행운복권,전남 무안군,2
24,복권명당,경북 경산시,2
25,NG24,경북 칠곡군,2
26,로또복권 포항IC점,경북 포항시 북구,2
27,알리바이,광주 광산구,2
28,대광복권방,전남 화순군,2
29,베스트올수성점,전북 정읍시,2
30,로또명당해미점,충남 서산시,2
31,로또명당인주점,충남 아산시,2
32,금두꺼비복권방,경기 고양시 일산서구,2
33,흥양마중물,강원 원주시,2
34,황금복권방,강원 원주시,2
35,로또복권두정점,충남 천안시 서북구,2
36,진평양행,강원 강릉시,2
37,주택복권방,강원 원주시,2
38,럭키복권점,강원 강릉시,1
39,TO TO,강원 강릉시,1
40,도계복권방,강원 삼척시,1
41,예지몽 로또,강원 원주시,1
42,토토세상,강원 원주시,1
43,복권나라,강원 원주시,1
44,성원 복권방,강원 인제군,1
45,행운로또,강원 춘천시,1
46,백억만로또,강원 춘천시,1
47,대박의터,강원 춘천시,1
48,드림오피스문구,강원 춘천시,1
49,엠에스리테일점,강원 춘천시,1
50,철암로또점,강원 태백시,1
51,평창로또,강원 평창군,1
52,봉평명당,강원 평창군,1
53,대박로또,경기 가평군,1
54,꽃길로또방,경기 고양시 덕양구,1
55,삼송행운복권점,경기 고양시 덕양구,1
56,굿샷,경기 고양시 일산동구,1
57,대박나라 돼지공주,경기 고양시 일산동구,1
58,일산복권,경기 고양시 일산서구,1
59,주엽역 로또판매점,경기 고양시 일산서구,1
60,오렌지25,경기 고양시 일산서구,1
61,이마트24 일산덕이점,경기 고양시 일산서구,1
62,광민 노다지 복권방,경기 광명시,1
63,광명로또명당,경기 광명시,1
64,진우행운복권방,경기 광주시,1
65,대박,경기 구리시,1
66,훼밀리슈퍼,경기 구리시,1
67,대운,경기 김포시,1
68,차부상회,경기 김포시,1
69,대곶천국열쇠 로또명당,경기 김포시,1
70,한아름 복권,경기 김포시,1
71,로또맛집배은복,경기 김포시,1
72,행운로또,경기 김포시,1
73,행운,경기 남양주시,1
74,예스복권방,경기 남양주시,1
75,세븐일레븐남양주차산점,경기 남양주시,1
76,민복권,경기 동두천시,1
77,버스매표소,경기 부천시 소사구,1
78,황금당,경기 부천시 오정구,1
79,로또대박,경기 부천시 원미구,1
80,풍전슈퍼,경기 부천시 원미구,1
81,도담복권,경기 부천시 원미구,1
82,세븐일레븐 중동현대점,경기 부천시 원미구,1
83,대박슈퍼,경기 부천시 원미구,1
84,그린마트,경기 성남시 분당구,1
85,나눔로또 판교역점,경기 성남시 분당구,1
86,111호,경기 성남시 분당구,1
